,username,tweet_id,tweet_text,category,query,datetime_of_tweet,datetime_of_query,link,mentioned_location,location,image,org
0,amindichotomy_,1759934702352560249,ห่า อุบาดมาก คนกรุงเทพ เดินทุเร่ดสุดๆ รู้ว่าเดินช้าแต่ก็ขวางทางเดินมาก แทนที่จะดินชิดฝั่ง,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-20 13:35:05,2024-02-20 20:54:44,https://twitter.com/amindichotomy_/status/1759934702352560249,,,[],
1,BangkokInsight,1759866626374254816,"ชัชชาติ' ขีดเส้นปรับปรุงทางเท้าเพลินจิต-ราชดำริ ให้เสร็จภายใน มี.ค.นี้ รอรับสงกรานต์
https://thebangkokinsight.com/news/politics-general/general/1278197/…
#TheBangkokInsight #ชัชชาติ #ปรับปรุงทางเท้า #เพลินจิต #ราชดำริ #สงกรานต์",ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-20 9:04:35,2024-02-20 20:54:44,https://twitter.com/BangkokInsight/status/1759866626374254816,,,['https://pbs.twimg.com/media/GGxNXIXakAEWQ_U?format=jpg&name=small'],
2,sukkkkkii,1759820082002497768,กทม. จตุจักรอากาศไม่ดีนะคะ แสบทางเดินหายใจทุกวัน ขอบคุณที่ใส่ใจค่ะ,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-20 5:59:38,2024-02-20 20:54:44,https://twitter.com/sukkkkkii/status/1759820082002497768,,,[],
3,_JiggYPuFF_,1759740436422492316,ซอยตรงนั้นมันเป็นตลาดอะ  ตลาดมาก่อนทางม้าลาย คนก็ข้ามกันทุกวัน ทางม้าลายก็มาอยู่ตรงปากซอยไม่ได้อีก ตรงนั้นแค่ทางเท้ายังมีเลยแค่ด้านเดียว เศร้านะ แต่เราว่าแถวบุญศิริน่ากลัวกว่านี้เยอะม๊ากก (ศาลาว่าการกทมอยู่ข้างหน้าเองนะ ไม่เคยมีชุดไหนแก้ ),ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-20 0:43:09,2024-02-20 20:54:44,https://twitter.com/_JiggYPuFF_/status/1759740436422492316,,,[],
4,_prapat_,1759622140071170212,เวลาต่างชาติมาถามหาตลาดจุดผ่อนผันให้ขายบนทางเท้าในวันจันทร์ พอบอกว่าในกรุงเทพฯ ส่วนใหญ่ปิดวันจันทร์ นโยบายกทม. จะต้องได้ยิน amazing ตลอด ไม่อะเมซจ่ะ ปิดจริง ปิดมานานแล้ว ส่วนจุดที่เปิดเราก็ไม่รู้เหมือนกัน,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-19 16:53:05,2024-02-20 20:54:44,https://twitter.com/_prapat_/status/1759622140071170212,,,[],
5,poonarak4,1759571859065262082,ท่านชช.น่าจะได้เป็นอีกนะคะ ดูได้จากตอนนี้ชาวกทม.หรือเหล่าบรรดาดารา นักร้อง นักแสดง ไม่มีใครมีปัญหากับค่าฝุ่นแล้วค่ะ ทางเท้า เสาไฟฟ้า น้ำท่วม ทุกอย่างไม่มีปัญหาค่ะ,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-19 13:33:17,2024-02-20 20:54:44,https://twitter.com/poonarak4/status/1759571859065262082,,,[],
6,3f02243c0b72413,1759563889417834925,ประชาชนในยุคคุณชัช อดทนมากครับ ทั้งทางเท้า ขยะ คูคลอง อากาศคุณภาพชีวิต รับได้ทนได้หมดไม่ร้องเหมือนยุคลุงอัศเลย สุดยอดเลยไม่รู้จะชมใครก่อนระหว่างผู้บริหาร กทม กับชาว กทม แม้แต่ดารง ดาราที่เคยมาร้องๆ ไม่ร้องแล้ว เยี่ยมจริงๆ,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-19 13:01:37,2024-02-20 20:54:44,https://twitter.com/3f02243c0b72413/status/1759563889417834925,,,[],
7,Ma_Mon,1759485019478007917,"คุ้มจริงใช่มะ ทำเครื่องฟอกอากาศยักษ์มาตั้งในที่ outdoor เนี่ย ... แอบมีคำถามเล็กน้อย

1 แผ่นกรองอากาศจะอยู่ได้นานขนาดไหน
2 ตอน maintain แผ่นกรองนี่เงินใคร? ไม่ใช่ว่าพอแผ่นกรองตันก็ปล่อยทิ้ง เป็นของเกะกะอยู่ริมถนนนะ
3 ใช้ไฟจากไหน? ไฟจากกทม?
4 หาที่ติดตั้งไม่ให้เกะกะทางเดินได้มั้ย",ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-19 7:48:12,2024-02-20 20:54:44,https://twitter.com/Ma_Mon/status/1759485019478007917,,,[],
8,nongyooza,1759475116298359065,ไม่รู้ว่ะ อาจจะเปนเพราะไปกทม.แล้วไม่ถูกใจ วุ่นวายเกิน เดินบนฟุตบาทยังรู้สึกว่าจะตายตลอดเวลาเพราะคนกทม.ขับรถเหี้ยมาก รำคาญอะ มอไซก็ชอบขับขึ้นมาบนฟุตบาท มึงก็ชนกูให้จบๆเลยดิ อีเหี้ย,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-19 7:08:51,2024-02-20 20:54:44,https://twitter.com/nongyooza/status/1759475116298359065,,,[],
9,nubnibmubmib,1759432073696379139,ผ้าใบแหละจ้า เดินเมื่อยเนอะ ทางเท้ากรุงเทพ ใครส้นสูงไหวไปก่อนเลย เดี๋ยวบล๊อคกระดก น้ำกระเด็น ส้นเข้มติดตะแกรงท่ออีก,ทางเท้า,"(""ทางเท้า"" OR ""ทางเดิน"" OR ""ฟุตบาท"") AND (""กรุงเทพ"" OR ""กทม"" OR ""ชัชชาติ"")",2024-02-19 4:17:49,2024-02-20 20:54:44,https://twitter.com/nubnibmubmib/status/1759432073696379139,,,[],
